"","NTD.ID","Agency.Name","Reporter.Type","Reporting.Module","Mode","TOS","Bio.Diesel","Bunker.Fuel","C.Natural.Gas","Diesel.Fuel","Electric.Battery","Electric.Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified.Nat.Gas","Liquified.Petroleum.Gas","Renewable.Diesel","Passenger.Paid.Fares","Organization.Paid.Fares","Total.Fares"
"5235",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5236",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5237",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113709,0,113709
"5238",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5239",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5240",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5241",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5242",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5243",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5244",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5245",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,296228,0,296228
"5246",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5247",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5248",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","CB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5249",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","CB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,98958,0,98958
"5250",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5251",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10988,16,11004
"5252",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5253",80189,"Southern Colorado Community Action Agency, Inc.","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10433,254,10687
"5254",80190,"East Dakota Transit, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5255",80190,"East Dakota Transit, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110,2114,23224
"5256",80193,"Senior Citizens Council","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5257",80193,"Senior Citizens Council","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38187,13731,51918
"5258",80193,"Senior Citizens Council","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5259",80193,"Senior Citizens Council","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,909
"5260",80196,"Kenmare Wheels & Meals","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5261",80196,"Kenmare Wheels & Meals","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5786,460,6246
"5262",80200,"Missoula Ravalli Transportation Management Association","Rural Reporter","Rural","VP","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5263",80200,"Missoula Ravalli Transportation Management Association","Rural Reporter","Rural","VP","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9013,0,9013
"5264",80201,"Montezuma County","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5265",80201,"Montezuma County","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8883,35353,44236
"5266",80204,"Opportunity Link","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
